negotiation_date,sold_price,product,day,month,year
2014-01-01,0.0,,1,1,2014
2014-01-02,0.0,,2,1,2014
2014-01-03,0.0,,3,1,2014
2014-01-04,0.0,,4,1,2014
2014-01-05,0.0,,5,1,2014
2014-01-06,0.0,,6,1,2014
2014-01-07,308.33,Polpa Cítrica,7,1,2014
2014-01-08,300.67,Polpa Cítrica,8,1,2014
2014-01-09,295.0,Polpa Cítrica,9,1,2014
2014-01-10,324.0,Polpa Cítrica,10,1,2014
2014-01-11,250.71,Polpa Cítrica,11,1,2014
2014-01-12,250.0,Polpa Cítrica,12,1,2014
2014-01-13,0.0,,13,1,2014
2014-01-14,0.0,,14,1,2014
2014-01-16,0.0,,16,1,2014
2014-01-17,0.0,,17,1,2014
2014-01-18,0.0,,18,1,2014
2014-01-19,0.0,,19,1,2014
2014-01-20,0.0,,20,1,2014
2014-01-25,0.0,,25,1,2014
2014-01-26,0.0,,26,1,2014
2014-01-29,0.0,,29,1,2014
2014-02-01,280.0,Polpa Cítrica,1,2,2014
2014-02-02,0.0,,2,2,2014
2014-02-03,0.0,,3,2,2014
2014-02-04,0.0,,4,2,2014
2014-02-05,0.0,,5,2,2014
2014-02-06,345.0,Polpa Cítrica,6,2,2014
2014-02-07,315.94,Polpa Cítrica,7,2,2014
2014-02-08,290.0,Polpa Cítrica,8,2,2014
2014-02-09,301.8,Polpa Cítrica,9,2,2014
2014-02-10,307.0,Polpa Cítrica,10,2,2014
2014-02-11,284.0,Polpa Cítrica,11,2,2014
2014-02-12,276.43,Polpa Cítrica,12,2,2014
2014-02-16,0.0,,16,2,2014
2014-02-20,0.0,,20,2,2014
2014-02-23,0.0,,23,2,2014
2014-02-25,0.0,,25,2,2014
2014-02-27,0.0,,27,2,2014
2014-02-28,0.0,,28,2,2014
2014-02-29,0.0,,29,2,2014
2014-02-30,0.0,,30,2,2014
2014-03-01,250.0,Polpa Cítrica,1,3,2014
2014-03-02,330.0,Polpa Cítrica,2,3,2014
2014-03-03,0.0,,3,3,2014
2014-03-04,545.0,Polpa Cítrica,4,3,2014
